Category_ID,Category_path,Top-Level Category (Level 1),Sub Category (Level 2),Product Category (Level 3),Product Category (Level 4),Product Category (Level 5),Product Category (Level 6),Product Category (Level 7),Product Category (Level 8),Product Category (Level 9),Product Category (Level 10),Assureful RR,Straight Through business,Refer to UW,Refer to Capacity,Reject,Special Acceptance,QBE Comments,Generated_Keywords
18116194011,Appliances/Laundry Appliances,Appliances,Laundry Appliances,,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"appliances, laundry, laundry appliances, washer, washing machine"
19316792011,Appliances/Laundry Appliances/Irons & Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,,,,,,,,5,Yes,,,,Straight Through Business,0,"garment, irons, irons garment steamers, laundry, steamers, washer, washing machine"
510248,Appliances/Laundry Appliances/Irons & Garment Steamers/Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,Garment Steamers,,,,,,,5,Yes,,,,Straight Through Business,0,"garment, garment steamers, laundry, steamers, washer, washing machine"
3737831,Appliances/Laundry Appliances/Irons & Garment Steamers/Travel Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,Travel Garment Steamers,,,,,,,5,Yes,,,,Straight Through Business,0,"garment, laundry, steamers, travel, travel garment steamers, washer, washing machine"
2383576011,Appliances/Laundry Appliances/Washers & Dryers,Appliances,Laundry Appliances,Washers & Dryers,,,,,,,,5,Yes,,,,Straight Through Business,0,"dryers, laundry, washer, washers, washers dryers, washing machine"
13755271,Appliances/Laundry Appliances/Washers & Dryers/All-in-One Combination Washers & Dryers,Appliances,Laundry Appliances,Washers & Dryers,All-in-One Combination Washers & Dryers,,,,,,,5,Yes,,,,Straight Through Business,0,"all-in-one, all-in-one combination washers dryers, combination, dryers, laundry, washer, washers, washing machine"
13397481,Appliances/Laundry Appliances/Washers & Dryers/Dryers,Appliances,Laundry Appliances,Washers & Dryers,Dryers,,,,,,,5,Yes,,,,Straight Through Business,0,"dryers, laundry, washer, washers dryers, washers dryers dryers, washing machine"
9709422011,Appliances/Laundry Appliances/Washers & Dryers/Portable Washers,Appliances,Laundry Appliances,Washers & Dryers,Portable Washers,,,,,,,5,Yes,,,,Straight Through Business,0,"laundry, portable, portable washers, washer, washers, washing machine"
2399957011,Appliances/Laundry Appliances/Washers & Dryers/Stacked Washer & Dryer Units,Appliances,Laundry Appliances,Washers & Dryers,Stacked Washer & Dryer Units,,,,,,,5,Yes,,,,Straight Through Business,0,"dryer, laundry, stacked, stacked washer dryer units, units, washer, washers dryers, washers dryers stacked washer dryer units, washing machine"
13397491,Appliances/Laundry Appliances/Washers & Dryers/Washers,Appliances,Laundry Appliances,Washers & Dryers,Washers,,,,,,,5,Yes,,,,Straight Through Business,0,"laundry, washer, washers, washers dryers, washers dryers washers, washing machine"
18116206011,Appliances/Parts & Accessories/Air Conditioner Parts & Accessories,Appliances,Parts & Accessories,Air Conditioner Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, air, air conditioner parts accessories, conditioner, parts, parts accessories"
3737681,Appliances/Parts & Accessories/Air Conditioner Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Air Conditioner Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0,"air conditioner parts accessories, air conditioner parts accessories replacement parts, parts, replacement, replacement parts"
9425844011,Appliances/Parts & Accessories/Beverage Refrigerator Replacement Parts,Appliances,Parts & Accessories,Beverage Refrigerator Replacement Parts,,,,,,,,5,Yes,,,,Straight Through Business,0,"beverage, beverage refrigerator replacement parts, parts, parts accessories, parts accessories beverage refrigerator replacement parts, refrigerator, replacement"
9425873011,Appliances/Parts & Accessories/Blender Replacement Parts,Appliances,Parts & Accessories,Blender Replacement Parts,,,,,,,,5,Yes,,,,Straight Through Business,0,"blender, blender replacement parts, parts, parts accessories, parts accessories blender replacement parts, replacement"
18116208011,Appliances/Parts & Accessories/Carpet & Upholstery Cleaner Parts & Accessories,Appliances,Parts & Accessories,Carpet & Upholstery Cleaner Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, carpet, carpet upholstery cleaner parts accessories, cleaner, parts, parts accessories, upholstery"
361410011,Appliances/Parts & Accessories/Carpet & Upholstery Cleaner Parts & Accessories/Carpet Cleaning Chemicals,Appliances,Parts & Accessories,Carpet & Upholstery Cleaner Parts & Accessories,Carpet Cleaning Chemicals,,,,,,,2,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"carpet, carpet cleaning chemicals, chemicals, cleaning"
5486426011,Appliances/Parts & Accessories/Ceiling Fan Accessories/Pull Chains,Appliances,Parts & Accessories,Ceiling Fan Accessories,Pull Chains,,,,,,,5,Yes,,,,Straight Through Business,0,"chains, pull, pull chains"
3741191,Appliances/Parts & Accessories/Cooktop Parts & Accessories,Appliances,Parts & Accessories,Cooktop Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, cooktop, cooktop parts accessories, parts, parts accessories"
18116209011,Appliances/Parts & Accessories/Dehumidifier Parts & Accessories,Appliances,Parts & Accessories,Dehumidifier Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, dehumidifier, dehumidifier parts accessories, parts, parts accessories"
3741201,Appliances/Parts & Accessories/Dishwasher Parts & Accessories,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, dishwasher, dishwasher parts accessories, parts, parts accessories"
2232353011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Baskets,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,Baskets,,,,,,,5,Yes,,,,Straight Through Business,0,"baskets, dishwasher parts accessories, dishwasher parts accessories baskets"
2232357011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Hoses,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,Hoses,,,,,,,5,Yes,,,,Straight Through Business,0,"dishwasher parts accessories, dishwasher parts accessories hoses, hoses"
2232336011,Appliances/Parts & Accessories/Dryer Parts & Accessories,Appliances,Parts & Accessories,Dryer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, dryer, dryer parts accessories, parts, parts accessories"
9425850011,Appliances/Parts & Accessories/Dryer Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0,"dryer parts accessories, dryer parts accessories replacement parts, parts, replacement, replacement parts"
2232335011,Appliances/Parts & Accessories/Fasteners,Appliances,Parts & Accessories,Fasteners,,,,,,,,5,Yes,,,,Straight Through Business,0,"fasteners, parts accessories, parts accessories fasteners"
2232363011,Appliances/Parts & Accessories/Food Waste Disposer Parts & Accessories,Appliances,Parts & Accessories,Food Waste Disposer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, disposer, food, food waste disposer parts accessories, parts, parts accessories, waste"
3741211,Appliances/Parts & Accessories/Freezer Parts & Accessories,Appliances,Parts & Accessories,Freezer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, freezer, freezer parts accessories, parts, parts accessories"
3737511,Appliances/Parts & Accessories/Humidifier Parts & Accessories,Appliances,Parts & Accessories,Humidifier Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, humidifier, humidifier parts accessories, parts, parts accessories"
18116210011,Appliances/Parts & Accessories/Iron & Steamer Parts & Accessories,Appliances,Parts & Accessories,Iron & Steamer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, iron, iron steamer parts accessories, parts, parts accessories, steamer"
3741221,Appliances/Parts & Accessories/Oven Parts & Accessories,Appliances,Parts & Accessories,Oven Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, oven, oven parts accessories, parts, parts accessories"
9425898011,Appliances/Parts & Accessories/Pressure Cooker Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Pressure Cooker Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0,"parts, pressure cooker parts accessories, pressure cooker parts accessories replacement parts, replacement, replacement parts"
2232402011,Appliances/Parts & Accessories/Range Hood Parts & Accessories,Appliances,Parts & Accessories,Range Hood Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, hood, parts, parts accessories, range, range hood parts accessories"
2232403011,Appliances/Parts & Accessories/Range Hood Parts & Accessories/Blowers,Appliances,Parts & Accessories,Range Hood Parts & Accessories,Blowers,,,,,,,5,Yes,,,,Straight Through Business,0,"blowers, range hood parts accessories, range hood parts accessories blowers"
2232404011,Appliances/Parts & Accessories/Range Hood Parts & Accessories/Filters,Appliances,Parts & Accessories,Range Hood Parts & Accessories,Filters,,,,,,,5,Yes,,,,Straight Through Business,0,"filters, range hood parts accessories, range hood parts accessories filters"
3741231,Appliances/Parts & Accessories/Range Parts & Accessories,Appliances,Parts & Accessories,Range Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, parts, parts accessories, range, range parts accessories"
9425863011,Appliances/Parts & Accessories/Range Parts & Accessories/Accessories,Appliances,Parts & Accessories,Range Parts & Accessories,Accessories,,,,,,,3,Yes,,,,Straight Through Business,0,"accessories, range parts accessories, range parts accessories accessories"
2232390011,Appliances/Parts & Accessories/Range Parts & Accessories/Burner Rings,Appliances,Parts & Accessories,Range Parts & Accessories,Burner Rings,,,,,,,5,Yes,,,,Straight Through Business,0,"burner, burner rings, rings"
2232391011,Appliances/Parts & Accessories/Range Parts & Accessories/Burners,Appliances,Parts & Accessories,Range Parts & Accessories,Burners,,,,,,,5,Yes,,,,Straight Through Business,0,"burners, range parts accessories, range parts accessories burners"
2232392011,Appliances/Parts & Accessories/Range Parts & Accessories/Drip Pans,Appliances,Parts & Accessories,Range Parts & Accessories,Drip Pans,,,,,,,5,Yes,,,,Straight Through Business,0,"drip, drip pans, pans"
2232393011,Appliances/Parts & Accessories/Range Parts & Accessories/Exhaust Fans,Appliances,Parts & Accessories,Range Parts & Accessories,Exhaust Fans,,,,,,,5,Yes,,,,Straight Through Business,0,"exhaust, exhaust fans, fans"
2232396011,Appliances/Parts & Accessories/Range Parts & Accessories/Knobs,Appliances,Parts & Accessories,Range Parts & Accessories,Knobs,,,,,,,5,Yes,,,,Straight Through Business,0,"knobs, range parts accessories, range parts accessories knobs"
3741241,Appliances/Parts & Accessories/Refrigerator Parts & Accessories,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, parts, parts accessories, refrigerator, refrigerator parts accessories"
2232408011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Bins,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Bins,,,,,,,5,Yes,,,,Straight Through Business,0,"bins, refrigerator parts accessories, refrigerator parts accessories bins"
19212772011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Egg Trays,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Egg Trays,,,,,,,5,Yes,,,,Straight Through Business,0,"egg, egg trays, trays"
2232410011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Grills,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Grills,,,,,,,5,Yes,,,,Straight Through Business,0,"grills, refrigerator parts accessories, refrigerator parts accessories grills"
2232411011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Handles,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Handles,,,,,,,5,Yes,,,,Straight Through Business,0,"handles, refrigerator parts accessories, refrigerator parts accessories handles"
2232412011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Ice Makers,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Ice Makers,,,,,,,5,Yes,,,,Straight Through Business,0,"ice, ice makers, makers"
2232413011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Motors,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Motors,,,,,,,5,Yes,,,,Straight Through Business,0,"motors, refrigerator parts accessories, refrigerator parts accessories motors"
2232415011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Shelves,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Shelves,,,,,,,5,Yes,,,,Straight Through Business,0,"refrigerator parts accessories, refrigerator parts accessories shelves, shelves"
3741161,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Water Filters,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters,,,,,,,3,Yes,,,,Straight Through Business,0,"filters, water, water filters"
18116211011,Appliances/Parts & Accessories/Steam Cleaner & Steam Mop Parts & Accessories,Appliances,Parts & Accessories,Steam Cleaner & Steam Mop Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, cleaner, mop, parts, parts accessories, steam, steam cleaner steam mop parts accessories"
2232424011,Appliances/Parts & Accessories/Trash Compactor Parts & Accessories,Appliances,Parts & Accessories,Trash Compactor Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, compactor, parts, parts accessories, trash, trash compactor parts accessories"
510128,Appliances/Parts & Accessories/Vacuum Parts & Accessories,Appliances,Parts & Accessories,Vacuum Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, parts, parts accessories, vacuum, vacuum parts accessories"
11333716011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,,,,,,,5,Yes,,,,Straight Through Business,0,"attachments, attachments brushes, brushes"
3743741,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes/Attachments,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,Attachments,,,,,,5,Yes,,,,Straight Through Business,0,"attachments, attachments brushes, attachments brushes attachments"
11333718011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes/Brushes,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,Brushes,,,,,,5,Yes,,,,Straight Through Business,0,"attachments brushes, attachments brushes brushes, brushes"
510120,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Bags,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Bags,,,,,,,5,Yes,,,,Straight Through Business,0,"bags, vacuum parts accessories, vacuum parts accessories bags"
695496011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Bags/Canister Bags,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Bags,Canister Bags,,,,,,5,Yes,,,,Straight Through Business,0,"bags, canister, canister bags"
11333713011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Central Vacuum Installation Parts,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Central Vacuum Installation Parts,,,,,,,5,Yes,,,,Straight Through Business,0,"central, central vacuum installation parts, installation, parts, vacuum, vacuum parts accessories, vacuum parts accessories central vacuum installation parts"
3743631,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Covers,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Covers,,,,,,,3,Yes,,,,Straight Through Business,0,"covers, vacuum parts accessories, vacuum parts accessories covers"
12955681,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,,,,,,,5,Yes,,,,Straight Through Business,0,"filters, vacuum parts accessories, vacuum parts accessories filters"
695497011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Canister Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Canister Filters,,,,,,5,Yes,,,,Straight Through Business,0,"canister, canister filters, filters"
11333711011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Central Vacuum Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Central Vacuum Filters,,,,,,5,Yes,,,,Straight Through Business,0,"central, central vacuum filters, filters, vacuum"
695501011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Handheld Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Handheld Filters,,,,,,3,Yes,,,,Straight Through Business,0,"filters, handheld, handheld filters"
695503011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Upright Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Upright Filters,,,,,,5,Yes,,,,Straight Through Business,0,"filters, upright, upright filters"
8106803011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Wet/Dry Vacuum Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Wet/Dry Vacuum Filters,,,,,,5,Yes,,,,Straight Through Business,0,"dry, dry vacuum filters, filters, vacuum"
3743711,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Hoses,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Hoses,,,,,,,5,Yes,,,,Straight Through Business,0,"hoses, vacuum parts accessories, vacuum parts accessories hoses"
10425210011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Replacement Batteries & Parts,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Replacement Batteries & Parts,,,,,,,5,Yes,,,,Straight Through Business,0,"batteries, parts, replacement, replacement batteries parts, vacuum parts accessories, vacuum parts accessories replacement batteries parts"
2232343011,Appliances/Parts & Accessories/Washer Parts & Accessories,Appliances,Parts & Accessories,Washer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, parts, parts accessories, washer, washer parts accessories"
2232346011,Appliances/Parts & Accessories/Washer Parts & Accessories/Doors,Appliances,Parts & Accessories,Washer Parts & Accessories,Doors,,,,,,,5,Yes,,,,Straight Through Business,0,"doors, washer parts accessories, washer parts accessories doors"
2232347011,Appliances/Parts & Accessories/Washer Parts & Accessories/Drain Pumps,Appliances,Parts & Accessories,Washer Parts & Accessories,Drain Pumps,,,,,,,5,Yes,,,,Straight Through Business,0,"drain, drain pumps, pumps"
3741251,Appliances/Parts & Accessories/Wine Cellar Parts & Accessories,Appliances,Parts & Accessories,Wine Cellar Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0,"accessories, cellar, parts, parts accessories, wine, wine cellar parts accessories"
18116197011,"Appliances/Ranges, Ovens & Cooktops",Appliances,"Ranges, Ovens & Cooktops",,,,,,,,,5,Yes,,,,Straight Through Business,0,"cooktops, ovens, ranges, ranges ovens cooktops"
3741261,"Appliances/Ranges, Ovens & Cooktops/Cooktops",Appliances,"Ranges, Ovens & Cooktops",Cooktops,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"cooktops, ranges ovens cooktops, ranges ovens cooktops cooktops"
3741441,"Appliances/Ranges, Ovens & Cooktops/Range Hoods",Appliances,"Ranges, Ovens & Cooktops",Range Hoods,,,,,,,,5,,,,Yes,Reject,NO,"hoods, range, range hoods"
3741411,"Appliances/Ranges, Ovens & Cooktops/Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"ranges, ranges ovens cooktops, ranges ovens cooktops ranges"
3741421,"Appliances/Ranges, Ovens & Cooktops/Ranges/Drop-In Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Drop-In Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"drop-in, drop-in ranges, ranges"
3741431,"Appliances/Ranges, Ovens & Cooktops/Ranges/Freestanding Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Freestanding Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"freestanding, freestanding ranges, ranges"
2399946011,"Appliances/Ranges, Ovens & Cooktops/Ranges/Slide-In Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Slide-In Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"ranges, slide-in, slide-in ranges"
3741481,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"ovens, wall, wall ovens"
3741491,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Combination Microwave & Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Combination Microwave & Wall Ovens,,,,,,,4,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"combination, combination microwave wall ovens, microwave, ovens, wall"
3741501,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Double Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Double Wall Ovens,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"double, double wall ovens, ovens, wall"
3741511,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Single Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Single Wall Ovens,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"ovens, single, single wall ovens, wall"
2399955011,"Appliances/Ranges, Ovens & Cooktops/Warming Drawers",Appliances,"Ranges, Ovens & Cooktops",Warming Drawers,,,,,,,,4,Yes,,,,Straight Through Business,0,"drawers, warming, warming drawers"
17921061011,"Appliances/Refrigerators, Freezers & Ice Makers",Appliances,"Refrigerators, Freezers & Ice Makers",,,,,,,,,5,Yes,,,,Straight Through Business,0,"freezers, ice, makers, refrigerators, refrigerators freezers ice makers"
3741331,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,,,,,,,,5,Yes,,,,Straight Through Business,0,"freezers, refrigerators freezers ice makers, refrigerators freezers ice makers freezers"
3741341,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers/Chest Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,Chest Freezers,,,,,,,5,Yes,,,,Straight Through Business,0,"chest, chest freezers, freezers"
3741351,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers/Upright Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,Upright Freezers,,,,,,,5,Yes,,,,Straight Through Business,0,"freezers, upright, upright freezers"
