Category_ID,Category_path,Top-Level Category (Level 1),Sub Category (Level 2),Product Category (Level 3),Product Category (Level 4),Product Category (Level 5),Product Category (Level 6),Product Category (Level 7),Product Category (Level 8),Product Category (Level 9),Product Category (Level 10),Assureful RR,Straight Through business,Refer to UW,Refer to Capacity,Reject,Special Acceptance,QBE Comments
18116199011,"Appliances/Heating, Cooling & Air Quality",Appliances,"Heating, Cooling & Air Quality",,,,,,,,,5,Yes,,,,Straight Through Business,0
18116200011,"Appliances/Heating, Cooling & Air Quality/Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,,,,,,,,5,Yes,,,,Straight Through Business,0
510196,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Air Ionizers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Air Ionizers,,,,,,,5,Yes,,,,Straight Through Business,0
3737411,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Charcoal Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Charcoal Air Purifiers,,,,,,,5,,,,Yes,Reject,NO
3737421,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Electrostatic Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Electrostatic Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0
510192,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/HEPA Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,HEPA Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0
3737451,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Travel-Size Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Travel-Size Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0
3737431,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/ULPA Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,ULPA Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0
267557011,"Appliances/Heating, Cooling & Air Quality/Dehumidifiers",Appliances,"Heating, Cooling & Air Quality",Dehumidifiers,,,,,,,,7,Yes,,,,Straight Through Business,0
3737601,"Appliances/Heating, Cooling & Air Quality/Fans",Appliances,"Heating, Cooling & Air Quality",Fans,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
510182,"Appliances/Heating, Cooling & Air Quality/Space Heaters",Appliances,"Heating, Cooling & Air Quality",Space Heaters,,,,,,,,5,Yes,,,,Straight Through Business,0
18116194011,Appliances/Laundry Appliances,Appliances,Laundry Appliances,,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
19316792011,Appliances/Laundry Appliances/Irons & Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,,,,,,,,5,Yes,,,,Straight Through Business,0
510248,Appliances/Laundry Appliances/Irons & Garment Steamers/Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,Garment Steamers,,,,,,,5,Yes,,,,Straight Through Business,0
3737831,Appliances/Laundry Appliances/Irons & Garment Steamers/Travel Garment Steamers,Appliances,Laundry Appliances,Irons & Garment Steamers,Travel Garment Steamers,,,,,,,5,Yes,,,,Straight Through Business,0
2383576011,Appliances/Laundry Appliances/Washers & Dryers,Appliances,Laundry Appliances,Washers & Dryers,,,,,,,,5,Yes,,,,Straight Through Business,0
13755271,Appliances/Laundry Appliances/Washers & Dryers/All-in-One Combination Washers & Dryers,Appliances,Laundry Appliances,Washers & Dryers,All-in-One Combination Washers & Dryers,,,,,,,5,Yes,,,,Straight Through Business,0
13397481,Appliances/Laundry Appliances/Washers & Dryers/Dryers,Appliances,Laundry Appliances,Washers & Dryers,Dryers,,,,,,,5,Yes,,,,Straight Through Business,0
9709422011,Appliances/Laundry Appliances/Washers & Dryers/Portable Washers,Appliances,Laundry Appliances,Washers & Dryers,Portable Washers,,,,,,,5,Yes,,,,Straight Through Business,0
2399957011,Appliances/Laundry Appliances/Washers & Dryers/Stacked Washer & Dryer Units,Appliances,Laundry Appliances,Washers & Dryers,Stacked Washer & Dryer Units,,,,,,,5,Yes,,,,Straight Through Business,0
13397491,Appliances/Laundry Appliances/Washers & Dryers/Washers,Appliances,Laundry Appliances,Washers & Dryers,Washers,,,,,,,5,Yes,,,,Straight Through Business,0
18116206011,Appliances/Parts & Accessories/Air Conditioner Parts & Accessories,Appliances,Parts & Accessories,Air Conditioner Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
3737681,Appliances/Parts & Accessories/Air Conditioner Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Air Conditioner Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0
9425844011,Appliances/Parts & Accessories/Beverage Refrigerator Replacement Parts,Appliances,Parts & Accessories,Beverage Refrigerator Replacement Parts,,,,,,,,5,Yes,,,,Straight Through Business,0
9425873011,Appliances/Parts & Accessories/Blender Replacement Parts,Appliances,Parts & Accessories,Blender Replacement Parts,,,,,,,,5,Yes,,,,Straight Through Business,0
18116208011,Appliances/Parts & Accessories/Carpet & Upholstery Cleaner Parts & Accessories,Appliances,Parts & Accessories,Carpet & Upholstery Cleaner Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
361410011,Appliances/Parts & Accessories/Carpet & Upholstery Cleaner Parts & Accessories/Carpet Cleaning Chemicals,Appliances,Parts & Accessories,Carpet & Upholstery Cleaner Parts & Accessories,Carpet Cleaning Chemicals,,,,,,,2,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
5486426011,Appliances/Parts & Accessories/Ceiling Fan Accessories/Pull Chains,Appliances,Parts & Accessories,Ceiling Fan Accessories,Pull Chains,,,,,,,5,Yes,,,,Straight Through Business,0
3741191,Appliances/Parts & Accessories/Cooktop Parts & Accessories,Appliances,Parts & Accessories,Cooktop Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
18116209011,Appliances/Parts & Accessories/Dehumidifier Parts & Accessories,Appliances,Parts & Accessories,Dehumidifier Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
3741201,Appliances/Parts & Accessories/Dishwasher Parts & Accessories,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
2232353011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Baskets,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,Baskets,,,,,,,5,Yes,,,,Straight Through Business,0
2232357011,Appliances/Parts & Accessories/Dishwasher Parts & Accessories/Hoses,Appliances,Parts & Accessories,Dishwasher Parts & Accessories,Hoses,,,,,,,5,Yes,,,,Straight Through Business,0
2232336011,Appliances/Parts & Accessories/Dryer Parts & Accessories,Appliances,Parts & Accessories,Dryer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
9425850011,Appliances/Parts & Accessories/Dryer Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0
2232335011,Appliances/Parts & Accessories/Fasteners,Appliances,Parts & Accessories,Fasteners,,,,,,,,5,Yes,,,,Straight Through Business,0
2232363011,Appliances/Parts & Accessories/Food Waste Disposer Parts & Accessories,Appliances,Parts & Accessories,Food Waste Disposer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
3741211,Appliances/Parts & Accessories/Freezer Parts & Accessories,Appliances,Parts & Accessories,Freezer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
3737511,Appliances/Parts & Accessories/Humidifier Parts & Accessories,Appliances,Parts & Accessories,Humidifier Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
18116210011,Appliances/Parts & Accessories/Iron & Steamer Parts & Accessories,Appliances,Parts & Accessories,Iron & Steamer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
3741221,Appliances/Parts & Accessories/Oven Parts & Accessories,Appliances,Parts & Accessories,Oven Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
9425898011,Appliances/Parts & Accessories/Pressure Cooker Parts & Accessories/Replacement Parts,Appliances,Parts & Accessories,Pressure Cooker Parts & Accessories,Replacement Parts,,,,,,,5,Yes,,,,Straight Through Business,0
2232402011,Appliances/Parts & Accessories/Range Hood Parts & Accessories,Appliances,Parts & Accessories,Range Hood Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
2232403011,Appliances/Parts & Accessories/Range Hood Parts & Accessories/Blowers,Appliances,Parts & Accessories,Range Hood Parts & Accessories,Blowers,,,,,,,5,Yes,,,,Straight Through Business,0
2232404011,Appliances/Parts & Accessories/Range Hood Parts & Accessories/Filters,Appliances,Parts & Accessories,Range Hood Parts & Accessories,Filters,,,,,,,5,Yes,,,,Straight Through Business,0
3741231,Appliances/Parts & Accessories/Range Parts & Accessories,Appliances,Parts & Accessories,Range Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
9425863011,Appliances/Parts & Accessories/Range Parts & Accessories/Accessories,Appliances,Parts & Accessories,Range Parts & Accessories,Accessories,,,,,,,3,Yes,,,,Straight Through Business,0
2232390011,Appliances/Parts & Accessories/Range Parts & Accessories/Burner Rings,Appliances,Parts & Accessories,Range Parts & Accessories,Burner Rings,,,,,,,5,Yes,,,,Straight Through Business,0
2232391011,Appliances/Parts & Accessories/Range Parts & Accessories/Burners,Appliances,Parts & Accessories,Range Parts & Accessories,Burners,,,,,,,5,Yes,,,,Straight Through Business,0
2232392011,Appliances/Parts & Accessories/Range Parts & Accessories/Drip Pans,Appliances,Parts & Accessories,Range Parts & Accessories,Drip Pans,,,,,,,5,Yes,,,,Straight Through Business,0
2232393011,Appliances/Parts & Accessories/Range Parts & Accessories/Exhaust Fans,Appliances,Parts & Accessories,Range Parts & Accessories,Exhaust Fans,,,,,,,5,Yes,,,,Straight Through Business,0
2232396011,Appliances/Parts & Accessories/Range Parts & Accessories/Knobs,Appliances,Parts & Accessories,Range Parts & Accessories,Knobs,,,,,,,5,Yes,,,,Straight Through Business,0
3741241,Appliances/Parts & Accessories/Refrigerator Parts & Accessories,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
2232408011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Bins,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Bins,,,,,,,5,Yes,,,,Straight Through Business,0
19212772011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Egg Trays,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Egg Trays,,,,,,,5,Yes,,,,Straight Through Business,0
2232410011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Grills,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Grills,,,,,,,5,Yes,,,,Straight Through Business,0
2232411011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Handles,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Handles,,,,,,,5,Yes,,,,Straight Through Business,0
2232412011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Ice Makers,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Ice Makers,,,,,,,5,Yes,,,,Straight Through Business,0
2232413011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Motors,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Motors,,,,,,,5,Yes,,,,Straight Through Business,0
2232415011,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Shelves,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Shelves,,,,,,,5,Yes,,,,Straight Through Business,0
3741161,Appliances/Parts & Accessories/Refrigerator Parts & Accessories/Water Filters,Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters,,,,,,,3,Yes,,,,Straight Through Business,0
18116211011,Appliances/Parts & Accessories/Steam Cleaner & Steam Mop Parts & Accessories,Appliances,Parts & Accessories,Steam Cleaner & Steam Mop Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
2232424011,Appliances/Parts & Accessories/Trash Compactor Parts & Accessories,Appliances,Parts & Accessories,Trash Compactor Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
510128,Appliances/Parts & Accessories/Vacuum Parts & Accessories,Appliances,Parts & Accessories,Vacuum Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
11333716011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,,,,,,,5,Yes,,,,Straight Through Business,0
3743741,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes/Attachments,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,Attachments,,,,,,5,Yes,,,,Straight Through Business,0
11333718011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Attachments & Brushes/Brushes,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Attachments & Brushes,Brushes,,,,,,5,Yes,,,,Straight Through Business,0
510120,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Bags,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Bags,,,,,,,5,Yes,,,,Straight Through Business,0
695496011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Bags/Canister Bags,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Bags,Canister Bags,,,,,,5,Yes,,,,Straight Through Business,0
11333713011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Central Vacuum Installation Parts,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Central Vacuum Installation Parts,,,,,,,5,Yes,,,,Straight Through Business,0
3743631,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Covers,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Covers,,,,,,,3,Yes,,,,Straight Through Business,0
12955681,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,,,,,,,5,Yes,,,,Straight Through Business,0
695497011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Canister Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Canister Filters,,,,,,5,Yes,,,,Straight Through Business,0
11333711011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Central Vacuum Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Central Vacuum Filters,,,,,,5,Yes,,,,Straight Through Business,0
695501011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Handheld Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Handheld Filters,,,,,,3,Yes,,,,Straight Through Business,0
695503011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Upright Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Upright Filters,,,,,,5,Yes,,,,Straight Through Business,0
8106803011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Filters/Wet/Dry Vacuum Filters,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Filters,Wet/Dry Vacuum Filters,,,,,,5,Yes,,,,Straight Through Business,0
3743711,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Hoses,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Hoses,,,,,,,5,Yes,,,,Straight Through Business,0
10425210011,Appliances/Parts & Accessories/Vacuum Parts & Accessories/Replacement Batteries & Parts,Appliances,Parts & Accessories,Vacuum Parts & Accessories,Replacement Batteries & Parts,,,,,,,5,Yes,,,,Straight Through Business,0
2232343011,Appliances/Parts & Accessories/Washer Parts & Accessories,Appliances,Parts & Accessories,Washer Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
2232346011,Appliances/Parts & Accessories/Washer Parts & Accessories/Doors,Appliances,Parts & Accessories,Washer Parts & Accessories,Doors,,,,,,,5,Yes,,,,Straight Through Business,0
2232347011,Appliances/Parts & Accessories/Washer Parts & Accessories/Drain Pumps,Appliances,Parts & Accessories,Washer Parts & Accessories,Drain Pumps,,,,,,,5,Yes,,,,Straight Through Business,0
3741251,Appliances/Parts & Accessories/Wine Cellar Parts & Accessories,Appliances,Parts & Accessories,Wine Cellar Parts & Accessories,,,,,,,,5,Yes,,,,Straight Through Business,0
18116197011,"Appliances/Ranges, Ovens & Cooktops",Appliances,"Ranges, Ovens & Cooktops",,,,,,,,,5,Yes,,,,Straight Through Business,0
3741261,"Appliances/Ranges, Ovens & Cooktops/Cooktops",Appliances,"Ranges, Ovens & Cooktops",Cooktops,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741441,"Appliances/Ranges, Ovens & Cooktops/Range Hoods",Appliances,"Ranges, Ovens & Cooktops",Range Hoods,,,,,,,,5,,,,Yes,Reject,NO
3741411,"Appliances/Ranges, Ovens & Cooktops/Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741421,"Appliances/Ranges, Ovens & Cooktops/Ranges/Drop-In Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Drop-In Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741431,"Appliances/Ranges, Ovens & Cooktops/Ranges/Freestanding Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Freestanding Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
2399946011,"Appliances/Ranges, Ovens & Cooktops/Ranges/Slide-In Ranges",Appliances,"Ranges, Ovens & Cooktops",Ranges,Slide-In Ranges,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741481,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741491,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Combination Microwave & Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Combination Microwave & Wall Ovens,,,,,,,4,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741501,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Double Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Double Wall Ovens,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741511,"Appliances/Ranges, Ovens & Cooktops/Wall Ovens/Single Wall Ovens",Appliances,"Ranges, Ovens & Cooktops",Wall Ovens,Single Wall Ovens,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
2399955011,"Appliances/Ranges, Ovens & Cooktops/Warming Drawers",Appliances,"Ranges, Ovens & Cooktops",Warming Drawers,,,,,,,,4,Yes,,,,Straight Through Business,0
17921061011,"Appliances/Refrigerators, Freezers & Ice Makers",Appliances,"Refrigerators, Freezers & Ice Makers",,,,,,,,,5,Yes,,,,Straight Through Business,0
3741331,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,,,,,,,,5,Yes,,,,Straight Through Business,0
3741341,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers/Chest Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,Chest Freezers,,,,,,,5,Yes,,,,Straight Through Business,0
3741351,"Appliances/Refrigerators, Freezers & Ice Makers/Freezers/Upright Freezers",Appliances,"Refrigerators, Freezers & Ice Makers",Freezers,Upright Freezers,,,,,,,5,Yes,,,,Straight Through Business,0
2399939011,"Appliances/Refrigerators, Freezers & Ice Makers/Ice Makers",Appliances,"Refrigerators, Freezers & Ice Makers",Ice Makers,,,,,,,,6,Yes,,,,Straight Through Business,0
3741361,"Appliances/Refrigerators, Freezers & Ice Makers/Refrigerators",Appliances,"Refrigerators, Freezers & Ice Makers",Refrigerators,,,,,,,,5,Yes,,,,Straight Through Business,0
289745,"Appliances/Small Kitchen Appliances/Coffee, Tea & Espresso Appliances/Coffee Makers/Coffee Machines",Appliances,Small Kitchen Appliances,"Coffee, Tea & Espresso Appliances",Coffee Makers,Coffee Machines,,,,,,4,Yes,,,,Straight Through Business,0
17807784011,"Appliances/Small Kitchen Appliances/Coffee, Tea & Espresso Appliances/Coffee Makers/Cold Brew Coffee Makers",Appliances,Small Kitchen Appliances,"Coffee, Tea & Espresso Appliances",Coffee Makers,Cold Brew Coffee Makers,,,,,,4,Yes,,,,Straight Through Business,0
1090768,Appliances/Small Kitchen Appliances/Specialty Appliances/Vacuum Sealers,Appliances,Small Kitchen Appliances,Specialty Appliances,Vacuum Sealers,,,,,,,4,Yes,,,,Straight Through Business,0
16012141,Appliances/Small Kitchen Appliances/Specialty Appliances/Yogurt Makers,Appliances,Small Kitchen Appliances,Specialty Appliances,Yogurt Makers,,,,,,,4,Yes,,,,Straight Through Business,0
18116203011,Appliances/Vacuums & Floor Care,Appliances,Vacuums & Floor Care,,,,,,,,,5,Yes,,,,Straight Through Business,0
18116204011,Appliances/Vacuums & Floor Care/Steam Cleaners & Steam Mops,Appliances,Vacuums & Floor Care,Steam Cleaners & Steam Mops,,,,,,,,5,Yes,,,,Straight Through Business,0
3303862011,Appliances/Vacuums & Floor Care/Steam Cleaners & Steam Mops/Handheld Steamers,Appliances,Vacuums & Floor Care,Steam Cleaners & Steam Mops,Handheld Steamers,,,,,,,5,Yes,,,,Straight Through Business,0
3303861011,Appliances/Vacuums & Floor Care/Steam Cleaners & Steam Mops/Steam Mops,Appliances,Vacuums & Floor Care,Steam Cleaners & Steam Mops,Steam Mops,,,,,,,5,Yes,,,,Straight Through Business,0
510094,Appliances/Vacuums & Floor Care/Sweepers,Appliances,Vacuums & Floor Care,Sweepers,,,,,,,,5,Yes,,,,Straight Through Business,0
510108,Appliances/Vacuums & Floor Care/Vacuums/Canister Vacuums,Appliances,Vacuums & Floor Care,Vacuums,Canister Vacuums,,,,,,,5,Yes,,,,Straight Through Business,0
11333709011,Appliances/Vacuums & Floor Care/Vacuums/Central Vacuum Systems,Appliances,Vacuums & Floor Care,Vacuums,Central Vacuum Systems,,,,,,,5,Yes,,,,Straight Through Business,0
3743561,Appliances/Vacuums & Floor Care/Vacuums/Robotic Vacuums,Appliances,Vacuums & Floor Care,Vacuums,Robotic Vacuums,,,,,,,5,Yes,,,,Straight Through Business,0
510110,Appliances/Vacuums & Floor Care/Vacuums/Upright Vacuums,Appliances,Vacuums & Floor Care,Vacuums,Upright Vacuums,,,,,,,5,Yes,,,,Straight Through Business,0
2350150011,Apps & Games,Apps & Games,,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478833011,Apps & Games/Books & Comics,Apps & Games,Books & Comics,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478834011,Apps & Games/Books & Comics/Books & Readers,Apps & Games,Books & Comics,Books & Readers,,,,,,,,1,Yes,,,,Straight Through Business,0
2478836011,Apps & Games/Books & Comics/Children's Books,Apps & Games,Books & Comics,Children's Books,,,,,,,,1,,Yes,,,Refer to UW,OK with x-rated exception
2478837011,Apps & Games/Books & Comics/Comic Strips,Apps & Games,Books & Comics,Comic Strips,,,,,,,,1,Yes,,,,Straight Through Business,0
2478835011,Apps & Games/Books & Comics/Graphic Novels,Apps & Games,Books & Comics,Graphic Novels,,,,,,,,1,Yes,,,,Straight Through Business,OK with exposure
2478838011,Apps & Games/Books & Comics/Manga,Apps & Games,Books & Comics,Manga,,,,,,,,1,Yes,,,,Straight Through Business,0
2478832011,Apps & Games/Business & Finance,Apps & Games,Business & Finance,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478840011,Apps & Games/City Info,Apps & Games,City Info,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478839011,Apps & Games/Communication,Apps & Games,Communication,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478841011,Apps & Games/Cooking,Apps & Games,Cooking,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478842011,Apps & Games/Education,Apps & Games,Education,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478843011,Apps & Games/Entertainment,Apps & Games,Entertainment,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478844011,Apps & Games/Games,Apps & Games,Games,,,,,,,,,2,Yes,,,,Straight Through Business,0
2478845011,Apps & Games/Health & Fitness,Apps & Games,Health & Fitness,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478846011,Apps & Games/Kids,Apps & Games,Kids,,,,,,,,,2,,,,Yes,Reject,NO
2478847011,Apps & Games/Lifestyle,Apps & Games,Lifestyle,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478849011,Apps & Games/Music,Apps & Games,Music,,,,,,,,,1,Yes,,,,Straight Through Business,0
2478850011,Apps & Games/Music/Artists,Apps & Games,Music,Artists,,,,,,,,1,Yes,,,,Straight Through Business,0
2478851011,Apps & Games/Music/Instruments,Apps & Games,Music,Instruments,,,,,,,,1,Yes,,,,Straight Through Business,0
2478854011,Apps & Games/Music/Music Players,Apps & Games,Music,Music Players,,,,,,,,1,Yes,,,,Straight Through Business,0
2478852011,Apps & Games/Music/Radio,Apps & Games,Music,Radio,,,,,,,,1,Yes,,,,Straight Through Business,0
